NAME,STREET,CITY,ZIPCODE,RENT_COST,BEDROOMS,BATHROOMS,APT_NUM,SQFT
16 Lumberjack Dr #2,16 Lumberjack Dr #2,Naples,04055,1995,2.0,1.0,0,1120
7 Howe St (1),7 Howe St,Lewiston,04240,1500,2.0,1.0,1,0
7 Howe St (2),7 Howe St,Lewiston,04240,1690,3.0,1.0,2,0
40 Front St #40,40 Front St #40,South Berwick,03908,1695,1.0,1.0,0,1100
20 Wentworth St #201,20 Wentworth St #201,Biddeford,04005,2250,3.0,1.0,0,1500
15 Freeman St #3,15 Freeman St #3,Biddeford,04005,2500,4.0,1.0,0,1500
25 Oak St #G,25 Oak St #G,Rockland,04841,1500,1.0,1.0,0,550
3 Walker St #3,3 Walker St #3,Kittery,03904,3250,2.0,2.0,0,1200
148 S Kelsey St #2,148 S Kelsey St #2,South Portland,04106,1650,1.0,1.0,0,0
11 Green St #1,11 Green St #1,Winthrop,04364,1650,2.0,1.0,0,1400
6 Graham St,6 Graham St,Biddeford,04005,2500,3.0,1.0,0,2240
(Undisclosed Address),(Undisclosed Address),Portland,04103,2750,2.0,1.0,0,0
66 Watkins Shores Rd,66 Watkins Shores Rd,Casco,04015,2800,3.0,2.0,0,0
(Undisclosed Address),(Undisclosed Address),Biddeford,04005,1950,1.0,1.0,0,900
7 Spring St (1),7 Spring St,Mechanic Falls,04256,675,0,1.0,6,211
7 Spring St (2),7 Spring St,Mechanic Falls,04256,1395,2.0,15.0,2,0
187 Main St #B1,187 Main St #B1,West Paris,04289,1350,1.0,1.0,0,700
287 Spring St APT 5,287 Spring St APT 5,Portland,04102,2800,1.0,1.0,0,550
56 Beechland Rd APT 2,56 Beechland Rd APT 2,Ellsworth,04605,1499,2.0,1.0,0,1000
2 Oak Knoll Rd,2 Oak Knoll Rd,Cape Elizabeth,04107,2300,0.0,1.0,0,450
34 Oak St #1,34 Oak St #1,Augusta,04330,1400,1.0,1.0,0,1200
(Undisclosed Address),(Undisclosed Address),Ellsworth,04605,1600,1.0,1.0,0,1000
16 Black Smith Rd (1),16 Black Smith Rd,Wells,04090,3300,3.0,25.0,0,3000
16 Black Smith Rd (2),16 Black Smith Rd,Wells,04090,3300,3.0,25.0,A,3000
38 Pleasant St #2,38 Pleasant St #2,Rockland,04841,1345,1.0,1.0,0,575
139 Daigle Dr,139 Daigle Dr,Bangor,04401,2400,3.0,2.0,0,2400
(Undisclosed Address),(Undisclosed Address),Scarborough,04074,2000,1.0,1.0,0,1000
(Undisclosed Address),(Undisclosed Address),Hollis Center,04042,2300,2.0,1.0,0,1200
8 Kossuth St #202,8 Kossuth St #202,Biddeford,04005,1600,1.0,1.0,0,650
657 Maine Ave (1),657 Maine Ave,Farmingdale,04344,1700,1.0,1.0,2,740
657 Maine Ave (2),657 Maine Ave,Farmingdale,04344,1700,1.0,1.0,1,740
657 Maine Ave (3),657 Maine Ave,Farmingdale,04344,2600,1.0,1.0,3,1000
1 York St (1),1 York St,Old Orchard Beach,04064,1500,1.0,1.0,Y1,0
1 York St (2),1 York St,Old Orchard Beach,04064,1600,3.0,1.0,27,0
1 York St (3),1 York St,Old Orchard Beach,04064,1800,2.0,1.0,0,0
1 York St (4),1 York St,Old Orchard Beach,04064,2000,3.0,2.0,EG-6,0
1 York St (5),1 York St,Old Orchard Beach,04064,2000,3.0,2.0,EG5,0
15 King St #1,15 King St #1,Norway,04268,1600,3.0,1.0,0,1050
62 North Rd,62 North Rd,Bridgton,04009,3000,3.0,2.0,0,1700
28 Pine Brook Dr (1),28 Pine Brook Dr,Augusta,04330,1900,2.0,1.0,1,1025
28 Pine Brook Dr (2),28 Pine Brook Dr,Augusta,04330,2400,2.0,2.0,104,1225
35 Cumberland St (1),35 Cumberland St,Brunswick,04011,2575,2.0,1.0,3,1300
35 Cumberland St (2),35 Cumberland St,Brunswick,04011,2750,3.0,1.0,1,1250
65 E Grand Ave (1),65 E Grand Ave,Old Orchard Beach,04064,1625,2.0,1.0,101,500
65 E Grand Ave (2),65 E Grand Ave,Old Orchard Beach,04064,1675,2.0,1.0,102,500
768 Main St,768 Main St,Saint Agatha,04772,2000,3.0,1.0,0,1200
63 Main St #1,63 Main St #1,Lisbon Falls,04252,2700,4.0,2.0,0,1100
41 Main St #A,41 Main St #A,Topsham,04086,1872,1.0,1.0,0,765
93 Main St #3,93 Main St #3,Sangerville,04479,1300,2.0,1.0,0,800
116 Walnut St #4,116 Walnut St #4,Lewiston,04240,1950,4.0,2.0,0,1700
(Undisclosed Address),(Undisclosed Address),Freeport,04032,3400,3.0,3.0,0,1756
4 June St #2,4 June St #2,Sanford,04073,2500,3.0,1.0,0,1440
(Undisclosed Address),(Undisclosed Address),Biddeford,04005,3050,4.0,1.0,0,1900
18 Melvin Ave #B,18 Melvin Ave #B,Old Orchard Beach,04064,2400,3.0,1.0,0,1500
(Undisclosed Address),(Undisclosed Address),Bath,04530,2000,3.0,2.0,0,1900
69 Shadagee Rd #1,69 Shadagee Rd #1,Saco,04072,2200,2.0,1.0,0,0
(Undisclosed Address),(Undisclosed Address),Standish,04084,3400,4.0,2.0,0,1944
486 Main Rd #1,486 Main Rd #1,Bridgewater,04735,950,2.0,1.0,0,0
46 Knox St (1),46 Knox St,Lewiston,04240,1500,3.0,1.0,4,705
46 Knox St (2),46 Knox St,Lewiston,04240,1600,3.0,1.0,2,705
14 Balsam Ln,14 Balsam Ln,Naples,04055,2650,3.0,1.0,0,1200
28 Sanjoy Ln,28 Sanjoy Ln,Harpswell,04079,4250,4.0,3.0,0,3366
12 Laurier St APT 1,12 Laurier St APT 1,Lewiston,04240,2250,4.0,2.0,0,0
313 State St APT 4,313 State St APT 4,Bangor,04401,1450,2.0,1.0,0,1200
74 3rd St APT 2,74 3rd St APT 2,Bangor,04401,1525,1.0,1.0,0,1100
254 S Main St #2,254 S Main St #2,Auburn,04210,1850,2.0,1.0,0,900
4 Odessa Ave (1),4 Odessa Ave,Old Orchard Beach,04064,2400,3.0,15.0,B,912
