NAME,ADDR,RENT_COST,BEDROOMS,BATHROOMS,APT_NUM,SQFT
70 Angell Avenue (1),"['70 Angell Ave', 'South Portland', '04106']",2100,2.0,1.0,0,0

Cricket Knoll Apartments (1),"['197 New Gorham Rd', 'Westbrook', '04092']",1650,2.0,1.0,18,850

118 Morning St #1,"['118 Morning St #1', 'Portland', '04101']",1595,1.0,1.0,0,500

12 Spaulding St. (1),"['12 Spaulding St', 'Augusta', '04330']",1395,2.0,1.0,4,600

11 Sunshine Cir #2,"['11 Sunshine Cir #2', 'Bridgton', '04009']",1895,1.0,1.0,0,810

187 Main St #B1,"['187 Main St #B1', 'West Paris', '04289']",1350,1.0,1.0,0,700

10 Veteran Ct (1),"['10 Veteran Ct', 'Waterville', '04901']",1000,1.0,1.0,2,0

10 Veteran Ct (2),"['10 Veteran Ct', 'Waterville', '04901']",1400,3.0,1.0,1,764

537 Main St (1),"['537 Main St', ' Calais', '04619']",1295,1.0,1.0,A,700

537 Main St (2),"['537 Main St', ' Calais', '04619']",1295,1.0,1.0,3,850

537 Main St (3),"['537 Main St', ' Calais', '04619']",1295,1.0,1.0,A1,700

537 Main St (4),"['537 Main St', ' Calais', '04619']",1295,1.0,1.0,1A,700

537 Main St (5),"['537 Main St', ' Calais', '04619']",1350,1.0,1.0,1,700

3 Canal St (1),"['3 Canal St', 'Orono', '04473']",2250,3.0,1.0,3,1200

3 Canal St (2),"['3 Canal St', 'Orono', '04473']",2400,3.0,1.0,2,1200

(Undisclosed Address),"['(Undisclosed Address)', 'Orland', '04472']",3000,4.0,1.0,0,2000

(Undisclosed Address),"['(Undisclosed Address)', 'Hollis Center', '04042']",2300,2.0,1.0,0,1200

15 Wentworth Ave #15,"['15 Wentworth Ave #15', 'Newport', '04953']",1225,1.0,1.0,0,0

5 Glacier Way,"['5 Glacier Way', 'Sedgwick', '04676']",1950,3.0,2.0,0,1750

(Undisclosed Address),"['(Undisclosed Address)', 'Ellsworth', '04605']",1800,2.0,1.0,0,900

43 9th St (1),"['43 9th St', 'Auburn', '04210']",1800,2.0,1.0,3,675

43 9th St (2),"['43 9th St', 'Auburn', '04210']",1800,2.0,1.0,4,675

421 French St APT B,"['421 French St APT B', 'Bangor', '04401']",2400,2.0,1.0,0,1250

67 Elm St (1),"['67 Elm St', 'South Portland', '04106']",2600,2.0,1.0,B,700

67 Elm St (2),"['67 Elm St', 'South Portland', '04106']",2950,2.0,15.0,1,1200

18 Bower St #2,"['18 Bower St #2', 'Bangor', '04401']",1700,1.0,1.0,0,800

3 Sylvan Circuit #2,"['3 Sylvan Circuit #2', 'Cape Neddick', '03902']",2500,2.0,1.0,0,0

28 Pine Brook Dr (1),"['28 Pine Brook Dr', 'Augusta', '04330']",1900,2.0,1.0,1,1025

28 Pine Brook Dr (2),"['28 Pine Brook Dr', 'Augusta', '04330']",2400,2.0,2.0,104,1225

18 Rankin St #A,"['18 Rankin St #A', 'Springvale', '04083']",2200,2.0,1.0,0,874

11 & 13 Mentor St #1,"['11 & 13 Mentor St #1', 'Westbrook', '04092']",2200,2.0,1.0,0,1125

(Undisclosed Address),"['(Undisclosed Address)', 'Clinton', '04927']",1650,3.0,1.0,0,800

19 Allen Ave,"['19 Allen Ave', 'Lewiston', '04240']",1050,1.0,1.0,0,840

189 N High St,"['189 N High St', 'Bridgton', '04009']",3000,3.0,1.0,0,1584

75 Mountain St (1),"['75 Mountain St', 'Camden', '04843']",1700,1.0,1.0,1,650

75 Mountain St (2),"['75 Mountain St', 'Camden', '04843']",2150,2.0,1.0,2,750

51 High St #103,"['51 High St #103', 'Dexter', '04930']",1600,2.0,1.0,0,0

(Undisclosed Address),"['(Undisclosed Address)', 'Greenville', '04441']",1475,2.0,1.0,0,936

52 Marcie Way,"['52 Marcie Way', 'Ogunquit', '03907']",3400,3.0,2.0,0,1056

237 High St (1),"['237 High St', 'Portland', '04101']",2675,3.0,1.0,4,0

237 High St (2),"['237 High St', 'Portland', '04101']",2675,3.0,1.0,6,0

738 Payson Rd,"['738 Payson Rd', 'Union', '04862']",2300,3.0,1.0,0,1600

(Undisclosed Address),"['(Undisclosed Address)', 'Yarmouth', '04096']",3000,2.0,1.0,0,930

(Undisclosed Address),"['(Undisclosed Address)', 'Standish', '04084']",3400,4.0,2.0,0,1944

218 Washington Ave. (1),"['218 Washington Ave', ' Portland', '04101']",2800,1.0,1.0,408,631

218 Washington Ave. (2),"['218 Washington Ave', ' Portland', '04101']",3200,1.0,1.0,108,757

218 Washington Ave. (3),"['218 Washington Ave', ' Portland', '04101']",3500,1.0,1.0,303,833

84 Temple St (1),"['84 Temple St', 'Saco', '04072']",2750,1.0,1.0,0,600

84 Temple St (2),"['84 Temple St', 'Saco', '04072']",3300,2.0,1.0,101,1100

(Undisclosed Address),"['(Undisclosed Address)', 'Boothbay Harbor', '04538']",2450,3.0,2.0,0,990

74 3rd St APT 2,"['74 3rd St APT 2', 'Bangor', '04401']",1525,1.0,1.0,0,1100

(Undisclosed Address),"['(Undisclosed Address)', 'Westbrook', '04092']",2700,2.0,1.0,0,900

6 Hidden Greens Dr #2,"['6 Hidden Greens Dr #2', 'Saco', '04072']",2000,1.0,1.0,0,400

